model_key,conversation_id,family,target_turn,policy_name,budget_fraction,answer_token_count,answer_avg_neg_logprob,answer_total_neg_logprob,full_answer_avg_neg_logprob,full_answer_total_neg_logprob,answer_avg_neg_logprob_delta,answer_total_neg_logprob_delta
qwen25_15b,stress_longdep_two_lines,long_dependency,4,uniform,0.2,9,0.7118055555555556,6.40625,0.2795138888888889,2.515625,0.4322916666666667,3.890625
qwen25_15b,stress_longdep_two_lines,long_dependency,4,longllmlingua,0.2,9,0.5763888888888888,5.1875,0.2795138888888889,2.515625,0.29687499999999994,2.671875
qwen25_15b,stress_longdep_two_lines,long_dependency,4,recency,0.2,9,0.7118055555555556,6.40625,0.2795138888888889,2.515625,0.4322916666666667,3.890625
qwen25_15b,stress_longdep_two_lines,long_dependency,4,lexical_tfidf,0.2,9,0.7118055555555556,6.40625,0.2795138888888889,2.515625,0.4322916666666667,3.890625
qwen25_15b,stress_longdep_two_lines,long_dependency,4,recency_keep_compress_drop,0.2,9,0.7118055555555556,6.40625,0.2795138888888889,2.515625,0.4322916666666667,3.890625
qwen25_15b,stress_longdep_two_lines,long_dependency,4,uniform,0.35,9,0.7118055555555556,6.40625,0.2795138888888889,2.515625,0.4322916666666667,3.890625
qwen25_15b,stress_longdep_two_lines,long_dependency,4,longllmlingua,0.35,9,0.4965277777777778,4.46875,0.2795138888888889,2.515625,0.2170138888888889,1.953125
qwen25_15b,stress_longdep_two_lines,long_dependency,4,recency,0.35,9,0.7118055555555556,6.40625,0.2795138888888889,2.515625,0.4322916666666667,3.890625
qwen25_15b,stress_longdep_two_lines,long_dependency,4,lexical_tfidf,0.35,9,0.7118055555555556,6.40625,0.2795138888888889,2.515625,0.4322916666666667,3.890625
qwen25_15b,stress_longdep_two_lines,long_dependency,4,recency_keep_compress_drop,0.35,9,0.7118055555555556,6.40625,0.2795138888888889,2.515625,0.4322916666666667,3.890625
qwen25_15b,stress_longdep_two_lines,long_dependency,4,uniform,0.5,9,0.7118055555555556,6.40625,0.2795138888888889,2.515625,0.4322916666666667,3.890625
qwen25_15b,stress_longdep_two_lines,long_dependency,4,longllmlingua,0.5,9,0.46875,4.21875,0.2795138888888889,2.515625,0.1892361111111111,1.703125
qwen25_15b,stress_longdep_two_lines,long_dependency,4,recency,0.5,9,0.7118055555555556,6.40625,0.2795138888888889,2.515625,0.4322916666666667,3.890625
qwen25_15b,stress_longdep_two_lines,long_dependency,4,lexical_tfidf,0.5,9,0.7118055555555556,6.40625,0.2795138888888889,2.515625,0.4322916666666667,3.890625
qwen25_15b,stress_longdep_two_lines,long_dependency,4,recency_keep_compress_drop,0.5,9,0.7118055555555556,6.40625,0.2795138888888889,2.515625,0.4322916666666667,3.890625
qwen25_15b,stress_longdep_two_lines,long_dependency,6,uniform,0.2,13,3.1538461538461537,41.0,1.1298076923076923,14.6875,2.0240384615384617,26.3125
qwen25_15b,stress_longdep_two_lines,long_dependency,6,longllmlingua,0.2,13,2.5,32.5,1.1298076923076923,14.6875,1.3701923076923077,17.8125
qwen25_15b,stress_longdep_two_lines,long_dependency,6,recency,0.2,13,3.8076923076923075,49.5,1.1298076923076923,14.6875,2.677884615384615,34.8125
qwen25_15b,stress_longdep_two_lines,long_dependency,6,lexical_tfidf,0.2,13,3.1538461538461537,41.0,1.1298076923076923,14.6875,2.0240384615384617,26.3125
qwen25_15b,stress_longdep_two_lines,long_dependency,6,recency_keep_compress_drop,0.2,13,3.8076923076923075,49.5,1.1298076923076923,14.6875,2.677884615384615,34.8125
qwen25_15b,stress_longdep_two_lines,long_dependency,6,uniform,0.35,13,3.3846153846153846,44.0,1.1298076923076923,14.6875,2.2548076923076925,29.3125
qwen25_15b,stress_longdep_two_lines,long_dependency,6,longllmlingua,0.35,13,1.4134615384615385,18.375,1.1298076923076923,14.6875,0.28365384615384626,3.6875
qwen25_15b,stress_longdep_two_lines,long_dependency,6,recency,0.35,13,3.3846153846153846,44.0,1.1298076923076923,14.6875,2.2548076923076925,29.3125
qwen25_15b,stress_longdep_two_lines,long_dependency,6,lexical_tfidf,0.35,13,1.4615384615384615,19.0,1.1298076923076923,14.6875,0.33173076923076916,4.3125
qwen25_15b,stress_longdep_two_lines,long_dependency,6,recency_keep_compress_drop,0.35,13,3.3846153846153846,44.0,1.1298076923076923,14.6875,2.2548076923076925,29.3125
qwen25_15b,stress_longdep_two_lines,long_dependency,6,uniform,0.5,13,2.9038461538461537,37.75,1.1298076923076923,14.6875,1.7740384615384615,23.0625
qwen25_15b,stress_longdep_two_lines,long_dependency,6,longllmlingua,0.5,13,1.5576923076923077,20.25,1.1298076923076923,14.6875,0.4278846153846154,5.5625
qwen25_15b,stress_longdep_two_lines,long_dependency,6,recency,0.5,13,3.3846153846153846,44.0,1.1298076923076923,14.6875,2.2548076923076925,29.3125
qwen25_15b,stress_longdep_two_lines,long_dependency,6,lexical_tfidf,0.5,13,1.2980769230769231,16.875,1.1298076923076923,14.6875,0.16826923076923084,2.1875
qwen25_15b,stress_longdep_two_lines,long_dependency,6,recency_keep_compress_drop,0.5,13,3.3846153846153846,44.0,1.1298076923076923,14.6875,2.2548076923076925,29.3125
