baseline_name,family,conversation_id,num_turns,num_candidate_boundaries,gold_boundary_density,gold_boundaries,predicted_boundaries,ordered_boundary_mae,boundary_nearest_distance,oversegmentation_rate,miss_rate,boundary_windowdiff,boundary_pk,boundary_auprc,boundary_tp_exact,boundary_fp_exact,boundary_fn_exact,boundary_precision_exact,boundary_recall_exact,boundary_f1_exact,boundary_tp_tol1,boundary_fp_tol1,boundary_fn_tol1,boundary_precision_tol1,boundary_recall_tol1,boundary_f1_tol1,boundary_tp_tol2,boundary_fp_tol2,boundary_fn_tol2,boundary_precision_tol2,boundary_recall_tol2,boundary_f1_tol2,boundary_tp_tol3,boundary_fp_tol3,boundary_fn_tol3,boundary_precision_tol3,boundary_recall_tol3,boundary_f1_tol3
fixed_window,casual_chat,casual_seattle_trip,6,4,0.25,[3],[],0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
lexical_shift,casual_chat,casual_seattle_trip,6,4,0.25,[3],[],0.0,0.0,0.0,1.0,1.0,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
style_shift,casual_chat,casual_seattle_trip,6,4,0.25,[3],[],0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
oracle_random_matched_count,casual_chat,casual_seattle_trip,6,4,0.25,[3],[],1.046875,1.046875,0.75,0.75,0.3489583333333333,0.44921875,0.0,0.25,0.75,0.75,0.25,0.25,0.25,0.703125,0.296875,0.296875,0.703125,0.703125,0.703125,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
fixed_window,casual_chat,casual_roommate_dinner,6,4,0.25,[3],[],0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
lexical_shift,casual_chat,casual_roommate_dinner,6,4,0.25,[3],[3],0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
style_shift,casual_chat,casual_roommate_dinner,6,4,0.25,[3],[],0.0,0.0,0.0,1.0,1.0,0.5,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
oracle_random_matched_count,casual_chat,casual_roommate_dinner,6,4,0.25,[3],[],0.921875,0.921875,0.671875,0.671875,0.30729166666666663,0.3984375,0.0,0.328125,0.671875,0.671875,0.328125,0.328125,0.328125,0.75,0.25,0.25,0.75,0.75,0.75,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
fixed_window,casual_chat,casual_gym_schedule,6,4,0.25,[3],[],0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
lexical_shift,casual_chat,casual_gym_schedule,6,4,0.25,[3],[],0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
style_shift,casual_chat,casual_gym_schedule,6,4,0.25,[3],[1],2.0,2.0,1.0,1.0,0.6666666666666666,0.75,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
oracle_random_matched_count,casual_chat,casual_gym_schedule,6,4,0.25,[3],[],0.921875,0.921875,0.703125,0.703125,0.30729166666666663,0.40625,0.0,0.296875,0.703125,0.703125,0.296875,0.296875,0.296875,0.78125,0.21875,0.21875,0.78125,0.78125,0.78125,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
fixed_window,multi_topic_chat,multi_topic_city_day,6,4,0.25,[3],[],0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
