model_key,conversation_id,family,target_turn,policy_name,budget_fraction,answer_token_count,answer_avg_neg_logprob,answer_total_neg_logprob,full_answer_avg_neg_logprob,full_answer_total_neg_logprob,answer_avg_neg_logprob_delta,answer_total_neg_logprob_delta
qwen25_15b,6,msc_valid,4,uniform,0.2,17,5.529411764705882,94.0,5.352941176470588,91.0,0.17647058823529438,3.0
qwen25_15b,6,msc_valid,4,longllmlingua,0.2,17,5.088235294117647,86.5,5.352941176470588,91.0,-0.2647058823529411,-4.5
qwen25_15b,6,msc_valid,4,recency,0.2,17,5.529411764705882,94.0,5.352941176470588,91.0,0.17647058823529438,3.0
qwen25_15b,6,msc_valid,4,lexical_tfidf,0.2,17,5.529411764705882,94.0,5.352941176470588,91.0,0.17647058823529438,3.0
qwen25_15b,6,msc_valid,4,recency_keep_compress_drop,0.2,17,5.529411764705882,94.0,5.352941176470588,91.0,0.17647058823529438,3.0
qwen25_15b,6,msc_valid,4,uniform,0.35,17,5.352941176470588,91.0,5.352941176470588,91.0,0.0,0.0
qwen25_15b,6,msc_valid,4,longllmlingua,0.35,17,5.264705882352941,89.5,5.352941176470588,91.0,-0.08823529411764675,-1.5
qwen25_15b,6,msc_valid,4,recency,0.35,17,5.352941176470588,91.0,5.352941176470588,91.0,0.0,0.0
qwen25_15b,6,msc_valid,4,lexical_tfidf,0.35,17,5.352941176470588,91.0,5.352941176470588,91.0,0.0,0.0
qwen25_15b,6,msc_valid,4,recency_keep_compress_drop,0.35,17,5.352941176470588,91.0,5.352941176470588,91.0,0.0,0.0
qwen25_15b,6,msc_valid,4,uniform,0.5,17,5.352941176470588,91.0,5.352941176470588,91.0,0.0,0.0
qwen25_15b,6,msc_valid,4,longllmlingua,0.5,17,5.088235294117647,86.5,5.352941176470588,91.0,-0.2647058823529411,-4.5
qwen25_15b,6,msc_valid,4,recency,0.5,17,5.352941176470588,91.0,5.352941176470588,91.0,0.0,0.0
