model_key,conversation_id,family,target_turn,policy_name,budget_fraction,budget_token_fraction,retained_turn_fraction,retained_turn_indices,full_token_count,compressed_token_count,token_fraction,logit_l2,kl,top1_match,kept_segment_count,compressed_segment_count,evicted_segment_count,memory_objects
qwen25_15b,stress_code_js_fetch_helper,code_conversation,4,uniform,0.2,0.39473684210526316,0.5,"2,3",125,73,0.584,129.3868408203125,8.102295396383852e-06,1.0,0,0,0,
qwen25_15b,stress_code_js_fetch_helper,code_conversation,4,longllmlingua,0.2,0.2,nan,"2,3",125,92,0.736,196.74948120117188,1.6692243661964312e-05,1.0,0,0,0,
qwen25_15b,stress_code_js_fetch_helper,code_conversation,4,recency,0.2,0.39473684210526316,0.5,"2,3",125,73,0.584,129.3868408203125,8.102295396383852e-06,1.0,0,0,0,
qwen25_15b,stress_code_js_fetch_helper,code_conversation,4,lexical_tfidf,0.2,0.39473684210526316,0.5,"2,3",125,73,0.584,129.3868408203125,8.102295396383852e-06,1.0,0,0,0,
qwen25_15b,stress_code_js_fetch_helper,code_conversation,4,recency_keep_compress_drop,0.2,0.39473684210526316,0.5,"2,3",125,73,0.584,129.3868408203125,8.102295396383852e-06,1.0,0,0,1,
qwen25_15b,stress_code_js_fetch_helper,code_conversation,4,uniform,0.35,0.543859649122807,0.75,"1,2,3",125,90,0.72,159.75167846679688,1.1172212907695211e-05,1.0,0,0,0,
qwen25_15b,stress_code_js_fetch_helper,code_conversation,4,longllmlingua,0.35,0.35,nan,"2,3",125,98,0.784,187.18301391601562,1.5438701666425914e-05,1.0,0,0,0,
qwen25_15b,stress_code_js_fetch_helper,code_conversation,4,recency,0.35,0.543859649122807,0.75,"1,2,3",125,90,0.72,159.75167846679688,1.1172212907695211e-05,1.0,0,0,0,
qwen25_15b,stress_code_js_fetch_helper,code_conversation,4,lexical_tfidf,0.35,0.543859649122807,0.75,"1,2,3",125,90,0.72,159.75167846679688,1.1172212907695211e-05,1.0,0,0,0,
qwen25_15b,stress_code_js_fetch_helper,code_conversation,4,recency_keep_compress_drop,0.35,0.543859649122807,0.75,"1,2,3",125,90,0.72,159.75167846679688,1.1172212907695211e-05,1.0,0,1,0,
qwen25_15b,stress_code_js_fetch_helper,code_conversation,4,uniform,0.5,0.543859649122807,0.75,"1,2,3",125,90,0.72,159.75167846679688,1.1172212907695211e-05,1.0,0,0,0,
qwen25_15b,stress_code_js_fetch_helper,code_conversation,4,longllmlingua,0.5,0.5,nan,"2,3",125,103,0.824,193.3504180908203,1.4564378943759948e-05,1.0,0,0,0,
qwen25_15b,stress_code_js_fetch_helper,code_conversation,4,recency,0.5,0.543859649122807,0.75,"1,2,3",125,90,0.72,159.75167846679688,1.1172212907695211e-05,1.0,0,0,0,
qwen25_15b,stress_code_js_fetch_helper,code_conversation,4,lexical_tfidf,0.5,0.543859649122807,0.75,"1,2,3",125,90,0.72,159.75167846679688,1.1172212907695211e-05,1.0,0,0,0,
qwen25_15b,stress_code_js_fetch_helper,code_conversation,4,recency_keep_compress_drop,0.5,0.543859649122807,0.75,"1,2,3",125,90,0.72,159.75167846679688,1.1172212907695211e-05,1.0,0,1,0,
qwen25_15b,stress_code_js_fetch_helper,code_conversation,5,uniform,0.2,0.392,0.6,"1,3,4",157,98,0.6242038216560509,372.4136962890625,0.0,1.0,0,0,0,
qwen25_15b,stress_code_js_fetch_helper,code_conversation,5,longllmlingua,0.2,0.2,nan,"3,4",157,103,0.6560509554140127,361.82861328125,0.0,1.0,0,0,0,
qwen25_15b,stress_code_js_fetch_helper,code_conversation,5,recency,0.2,0.392,0.6,"1,3,4",157,98,0.6242038216560509,372.4136962890625,0.0,1.0,0,0,0,
qwen25_15b,stress_code_js_fetch_helper,code_conversation,5,lexical_tfidf,0.2,0.392,0.6,"1,3,4",157,98,0.6242038216560509,372.4136962890625,0.0,1.0,0,0,0,
qwen25_15b,stress_code_js_fetch_helper,code_conversation,5,recency_keep_compress_drop,0.2,0.392,0.6,"1,3,4",157,98,0.6242038216560509,372.4136962890625,0.0,1.0,0,1,1,
qwen25_15b,stress_code_js_fetch_helper,code_conversation,5,uniform,0.35,0.392,0.6,"1,3,4",157,98,0.6242038216560509,372.4136962890625,0.0,1.0,0,0,0,
qwen25_15b,stress_code_js_fetch_helper,code_conversation,5,longllmlingua,0.35,0.35,nan,"3,4",157,112,0.7133757961783439,356.02532958984375,0.0,1.0,0,0,0,
qwen25_15b,stress_code_js_fetch_helper,code_conversation,5,recency,0.35,0.448,0.6,"2,3,4",157,105,0.6687898089171974,204.70968627929688,0.0,1.0,0,0,0,
qwen25_15b,stress_code_js_fetch_helper,code_conversation,5,lexical_tfidf,0.35,0.392,0.6,"1,3,4",157,98,0.6242038216560509,372.4136962890625,0.0,1.0,0,0,0,
qwen25_15b,stress_code_js_fetch_helper,code_conversation,5,recency_keep_compress_drop,0.35,0.448,0.6,"2,3,4",157,105,0.6687898089171974,204.70968627929688,0.0,1.0,1,0,1,
qwen25_15b,stress_code_js_fetch_helper,code_conversation,5,uniform,0.5,0.584,0.8,"1,2,3,4",157,122,0.7770700636942676,240.50411987304688,0.0,1.0,0,0,0,
qwen25_15b,stress_code_js_fetch_helper,code_conversation,5,longllmlingua,0.5,0.5,nan,"3,4",157,122,0.7770700636942676,333.703125,0.0,1.0,0,0,0,
qwen25_15b,stress_code_js_fetch_helper,code_conversation,5,recency,0.5,0.584,0.8,"1,2,3,4",157,122,0.7770700636942676,240.50411987304688,0.0,1.0,0,0,0,
qwen25_15b,stress_code_js_fetch_helper,code_conversation,5,lexical_tfidf,0.5,0.584,0.8,"1,2,3,4",157,122,0.7770700636942676,240.50411987304688,0.0,1.0,0,0,0,
qwen25_15b,stress_code_js_fetch_helper,code_conversation,5,recency_keep_compress_drop,0.5,0.584,0.8,"1,2,3,4",157,122,0.7770700636942676,240.50411987304688,0.0,1.0,1,1,0,
qwen25_15b,stress_code_js_fetch_helper,code_conversation,6,uniform,0.2,0.3821656050955414,0.5,"1,4,5",173,93,0.5375722543352601,202.2755126953125,1.9260289263911545e-05,1.0,0,0,0,
qwen25_15b,stress_code_js_fetch_helper,code_conversation,6,longllmlingua,0.2,0.2,nan,"4,5",173,101,0.5838150289017341,202.01820373535156,1.2544276614789851e-05,1.0,0,0,0,
qwen25_15b,stress_code_js_fetch_helper,code_conversation,6,recency,0.2,0.40764331210191085,0.5,"3,4,5",173,97,0.5606936416184971,190.3895263671875,2.0731877157231793e-05,1.0,0,0,0,
qwen25_15b,stress_code_js_fetch_helper,code_conversation,6,lexical_tfidf,0.2,0.3821656050955414,0.5,"1,4,5",173,93,0.5375722543352601,202.2755126953125,1.9260289263911545e-05,1.0,0,0,0,
qwen25_15b,stress_code_js_fetch_helper,code_conversation,6,recency_keep_compress_drop,0.2,0.40764331210191085,0.5,"3,4,5",173,97,0.5606936416184971,190.3895263671875,2.0731877157231793e-05,1.0,0,1,1,
qwen25_15b,stress_code_js_fetch_helper,code_conversation,6,uniform,0.35,0.5159235668789809,0.6666666666666666,"1,3,4,5",173,114,0.6589595375722543,173.0841827392578,2.3780423362040892e-05,1.0,0,0,0,
qwen25_15b,stress_code_js_fetch_helper,code_conversation,6,longllmlingua,0.35,0.35,nan,"4,5",173,112,0.6473988439306358,201.2670135498047,1.2962072105437983e-05,1.0,0,0,0,
qwen25_15b,stress_code_js_fetch_helper,code_conversation,6,recency,0.35,0.5159235668789809,0.6666666666666666,"1,3,4,5",173,114,0.6589595375722543,173.0841827392578,2.3780423362040892e-05,1.0,0,0,0,
qwen25_15b,stress_code_js_fetch_helper,code_conversation,6,lexical_tfidf,0.35,0.5159235668789809,0.6666666666666666,"1,3,4,5",173,114,0.6589595375722543,173.0841827392578,2.3780423362040892e-05,1.0,0,0,0,
qwen25_15b,stress_code_js_fetch_helper,code_conversation,6,recency_keep_compress_drop,0.35,0.5159235668789809,0.6666666666666666,"1,3,4,5",173,114,0.6589595375722543,173.0841827392578,2.3780423362040892e-05,1.0,0,2,0,
qwen25_15b,stress_code_js_fetch_helper,code_conversation,6,uniform,0.5,0.6050955414012739,0.5,"0,4,5",173,111,0.6416184971098265,150.50733947753906,7.223077773232944e-06,1.0,0,0,0,
