phase,paper,artifact,benchmark_or_family,model,policy,budget,primary_metric,key_result_summary,status
Phase 1,Paper 1,artifacts/paper1/expanded_v8_final,multi-family characterization study,qwen25_15b,trajectory characterization,NA,"rank95 / corr(d_geo, delta_logit)",rank95=1.167; corr=0.994; shuffled_rank95=1.458,supporting
Phase 2,Paper 2,artifacts/paper2/behavior_stress_v1,hard stress set (all families),qwen25_05b,geometry,0.35,delta_logit_l2 vs uniform,delta_logit=-99.503; p=0.0000,win
Phase 2,Paper 2,artifacts/paper2/behavior_stress_qwen_cases,hard stress set mechanism readout,qwen25_05b,geometry,0.35,support-turn rescue,geometry_better=14/36; uniform_better=5/36; latest_support_rescues=13,supporting
Phase 3,Paper 3,artifacts/paper3/paper3_pilot_v3_full,hard stress set pilot,qwen25_05b,geometry_keep_compress_drop,0.35,delta_logit_l2 vs uniform,delta_logit=-105.647; p=0.0003,win
Phase 4,Paper 3,artifacts/paper3/paper3_batch_v1_fairness,hard stress set fairness sweep,qwen25_15b,geometry_keep_compress_drop,0.32,delta_logit_l2 vs uniform,delta_logit=-56.165; p=0.0030,win
Phase 4,Paper 3,artifacts/paper3/paper3_batch_v1_3b,hard stress set 3B probe,qwen25_3b,geometry_keep_compress_drop vs geometry,0.35 / 0.50,pairwise delta_logit_l2,0.35 pairwise=-53.675; 0.50 geometry=-46.526,mixed
Phase 6,Paper 3,paper3/paper3_public_v1_public_benchmark,LongMemEval public benchmark,qwen25_15b,semantic / geometry_segment_actions / geometry_keep_compress_drop,0.20 / 0.35 / 0.50,delta_logit_l2 vs uniform,0.20 semantic=-122.613; 0.35 segment=-97.432; 0.50 KCD=-48.466,mixed
Phase 8,Paper 3,papers/paper3_msc_semantic_codec_checkpoint.md,MSC semantic-memory benchmark,qwen25_15b,semantic vs semantic_keep_compress_drop,0.20 / 0.35 / 0.50,delta_logit_l2 + paired behavior,"0.20 semantic-KCD competitive but not significant; 0.35 and 0.50 plain semantic stronger, especially on behavior",mixed
Phase 9,Paper 3,results/paper3/studies/paper3_low_budget_smoke_msc,MSC low-budget smoke,qwen25_05b,support_aware_geometry_keep_compress_drop,0.20,delta_logit_l2 vs uniform,support_aware=-505.510; old_KCD=-44.152,supporting
Phase 10,Paper 3,results/paper3/studies/paper3_semantic_kcd_opt_smoke_msc,MSC semantic-KCD optimization smoke,qwen25_05b,semantic family variants,0.35,delta_logit_l2 vs uniform,semantic=-608.159; semantic_KCD=-645.714; support_aware_semantic=-572.753,mixed
Phase 10,Paper 3,results/paper3/studies/paper3_query_geom_smoke_msc,MSC query-conditioned geometry smoke,qwen25_05b,query_conditioned_geometry_keep_compress_drop,0.20,delta_logit_l2 vs uniform,query_geom_KCD=-501.114; geometry=-77.737,supporting
Phase 11-12,Paper 1 / Paper 3 bridge,artifacts/paper1/regime_atlas_smoke_v4,geometry-only regime atlas,qwen25_05b,segment curvature regime clustering,NA,family / regime separation,num_segments=208; retrieval_heavy split across regime 1=6; regime 3=6,falsified
Phase 13,Paper 3,artifacts/paper3/msc_persona_curvature_v1,MSC support/persona vs filler,qwen25_05b,stabilized curvature separation,NA,support-filler delta_kappa,delta_kappa=0.122; positive=3/5; negative=2/5,falsified
Phase 14,Paper 3,artifacts/paper3/state_update_alignment_smoke_qwen05b,synthetic state-update benchmark,qwen25_05b,same-sign directional alignment,NA,negative alignment count,mean_alignment=0.913; negative=0/10; semantic_gt_thresh=10/10,falsified
