model_key,conversation_id,family,target_turn,policy_name,budget_fraction,answer_token_count,answer_avg_neg_logprob,answer_total_neg_logprob,full_answer_avg_neg_logprob,full_answer_total_neg_logprob,answer_avg_neg_logprob_delta,answer_total_neg_logprob_delta
qwen25_15b,10,msc_valid,4,uniform,0.2,15,4.116666666666666,61.75,3.716666666666667,55.75,0.39999999999999947,6.0
qwen25_15b,10,msc_valid,4,longllmlingua,0.2,15,3.1333333333333333,47.0,3.716666666666667,55.75,-0.5833333333333335,-8.75
qwen25_15b,10,msc_valid,4,recency,0.2,15,4.116666666666666,61.75,3.716666666666667,55.75,0.39999999999999947,6.0
qwen25_15b,10,msc_valid,4,lexical_tfidf,0.2,15,4.116666666666666,61.75,3.716666666666667,55.75,0.39999999999999947,6.0
qwen25_15b,10,msc_valid,4,recency_keep_compress_drop,0.2,15,4.116666666666666,61.75,3.716666666666667,55.75,0.39999999999999947,6.0
qwen25_15b,10,msc_valid,4,uniform,0.35,15,3.85,57.75,3.716666666666667,55.75,0.1333333333333333,2.0
qwen25_15b,10,msc_valid,4,longllmlingua,0.35,15,3.1333333333333333,47.0,3.716666666666667,55.75,-0.5833333333333335,-8.75
qwen25_15b,10,msc_valid,4,recency,0.35,15,3.85,57.75,3.716666666666667,55.75,0.1333333333333333,2.0
qwen25_15b,10,msc_valid,4,lexical_tfidf,0.35,15,3.85,57.75,3.716666666666667,55.75,0.1333333333333333,2.0
qwen25_15b,10,msc_valid,4,recency_keep_compress_drop,0.35,15,3.85,57.75,3.716666666666667,55.75,0.1333333333333333,2.0
qwen25_15b,10,msc_valid,4,uniform,0.5,15,3.85,57.75,3.716666666666667,55.75,0.1333333333333333,2.0
qwen25_15b,10,msc_valid,4,longllmlingua,0.5,15,3.1,46.5,3.716666666666667,55.75,-0.6166666666666667,-9.25
qwen25_15b,10,msc_valid,4,recency,0.5,15,3.85,57.75,3.716666666666667,55.75,0.1333333333333333,2.0
qwen25_15b,10,msc_valid,4,lexical_tfidf,0.5,15,3.85,57.75,3.716666666666667,55.75,0.1333333333333333,2.0
qwen25_15b,10,msc_valid,4,recency_keep_compress_drop,0.5,15,3.85,57.75,3.716666666666667,55.75,0.1333333333333333,2.0
qwen25_15b,10,msc_valid,8,uniform,0.2,15,1.925,28.875,1.9083333333333334,28.625,0.016666666666666607,0.25
qwen25_15b,10,msc_valid,8,longllmlingua,0.2,15,1.9416666666666667,29.125,1.9083333333333334,28.625,0.033333333333333215,0.5
qwen25_15b,10,msc_valid,8,recency,0.2,15,2.0416666666666665,30.625,1.9083333333333334,28.625,0.13333333333333308,2.0
qwen25_15b,10,msc_valid,8,lexical_tfidf,0.2,15,2.0166666666666666,30.25,1.9083333333333334,28.625,0.10833333333333317,1.625
qwen25_15b,10,msc_valid,8,recency_keep_compress_drop,0.2,15,2.0416666666666665,30.625,1.9083333333333334,28.625,0.13333333333333308,2.0
qwen25_15b,10,msc_valid,8,uniform,0.35,15,1.875,28.125,1.9083333333333334,28.625,-0.03333333333333344,-0.5
qwen25_15b,10,msc_valid,8,longllmlingua,0.35,15,1.975,29.625,1.9083333333333334,28.625,0.06666666666666665,1.0
qwen25_15b,10,msc_valid,8,recency,0.35,15,2.0416666666666665,30.625,1.9083333333333334,28.625,0.13333333333333308,2.0
qwen25_15b,10,msc_valid,8,lexical_tfidf,0.35,15,1.9166666666666667,28.75,1.9083333333333334,28.625,0.008333333333333304,0.125
qwen25_15b,10,msc_valid,8,recency_keep_compress_drop,0.35,15,2.033333333333333,30.5,1.9083333333333334,28.625,0.12499999999999978,1.875
qwen25_15b,10,msc_valid,8,uniform,0.5,15,1.875,28.125,1.9083333333333334,28.625,-0.03333333333333344,-0.5
qwen25_15b,10,msc_valid,8,longllmlingua,0.5,15,2.0083333333333333,30.125,1.9083333333333334,28.625,0.09999999999999987,1.5
qwen25_15b,10,msc_valid,8,recency,0.5,15,2.058333333333333,30.875,1.9083333333333334,28.625,0.1499999999999997,2.25
qwen25_15b,10,msc_valid,8,lexical_tfidf,0.5,15,2.058333333333333,30.875,1.9083333333333334,28.625,0.1499999999999997,2.25
qwen25_15b,10,msc_valid,8,recency_keep_compress_drop,0.5,15,1.9333333333333333,29.0,1.9083333333333334,28.625,0.02499999999999991,0.375
qwen25_15b,10,msc_valid,12,uniform,0.2,19,2.9473684210526314,56.0,2.3552631578947367,44.75,0.5921052631578947,11.25
qwen25_15b,10,msc_valid,12,longllmlingua,0.2,19,2.6052631578947367,49.5,2.3552631578947367,44.75,0.25,4.75
qwen25_15b,10,msc_valid,12,recency,0.2,19,2.5921052631578947,49.25,2.3552631578947367,44.75,0.23684210526315796,4.5
qwen25_15b,10,msc_valid,12,lexical_tfidf,0.2,19,2.5657894736842106,48.75,2.3552631578947367,44.75,0.2105263157894739,4.0
qwen25_15b,10,msc_valid,12,recency_keep_compress_drop,0.2,19,2.75,52.25,2.3552631578947367,44.75,0.3947368421052633,7.5
qwen25_15b,10,msc_valid,12,uniform,0.35,19,2.6052631578947367,49.5,2.3552631578947367,44.75,0.25,4.75
qwen25_15b,10,msc_valid,12,longllmlingua,0.35,19,2.513157894736842,47.75,2.3552631578947367,44.75,0.1578947368421053,3.0
qwen25_15b,10,msc_valid,12,recency,0.35,19,2.4078947368421053,45.75,2.3552631578947367,44.75,0.052631578947368585,1.0
qwen25_15b,10,msc_valid,12,lexical_tfidf,0.35,19,2.289473684210526,43.5,2.3552631578947367,44.75,-0.06578947368421062,-1.25
qwen25_15b,10,msc_valid,12,recency_keep_compress_drop,0.35,19,2.3421052631578947,44.5,2.3552631578947367,44.75,-0.013157894736842035,-0.25
qwen25_15b,10,msc_valid,12,uniform,0.5,19,2.486842105263158,47.25,2.3552631578947367,44.75,0.13157894736842124,2.5
qwen25_15b,10,msc_valid,12,longllmlingua,0.5,19,2.6052631578947367,49.5,2.3552631578947367,44.75,0.25,4.75
qwen25_15b,10,msc_valid,12,recency,0.5,19,2.236842105263158,42.5,2.3552631578947367,44.75,-0.11842105263157876,-2.25
qwen25_15b,10,msc_valid,12,lexical_tfidf,0.5,19,2.3552631578947367,44.75,2.3552631578947367,44.75,0.0,0.0
qwen25_15b,10,msc_valid,12,recency_keep_compress_drop,0.5,19,2.1578947368421053,41.0,2.3552631578947367,44.75,-0.19736842105263142,-3.75
qwen25_15b,10,msc_valid,16,uniform,0.2,21,3.5476190476190474,74.5,3.380952380952381,71.0,0.16666666666666652,3.5
qwen25_15b,10,msc_valid,16,longllmlingua,0.2,21,3.4285714285714284,72.0,3.380952380952381,71.0,0.04761904761904745,1.0
qwen25_15b,10,msc_valid,16,recency,0.2,21,3.619047619047619,76.0,3.380952380952381,71.0,0.23809523809523814,5.0
qwen25_15b,10,msc_valid,16,lexical_tfidf,0.2,21,3.4047619047619047,71.5,3.380952380952381,71.0,0.023809523809523725,0.5
qwen25_15b,10,msc_valid,16,recency_keep_compress_drop,0.2,21,3.642857142857143,76.5,3.380952380952381,71.0,0.26190476190476186,5.5
qwen25_15b,10,msc_valid,16,uniform,0.35,21,3.4285714285714284,72.0,3.380952380952381,71.0,0.04761904761904745,1.0
qwen25_15b,10,msc_valid,16,longllmlingua,0.35,21,3.3333333333333335,70.0,3.380952380952381,71.0,-0.04761904761904745,-1.0
qwen25_15b,10,msc_valid,16,recency,0.35,21,3.619047619047619,76.0,3.380952380952381,71.0,0.23809523809523814,5.0
qwen25_15b,10,msc_valid,16,lexical_tfidf,0.35,21,3.380952380952381,71.0,3.380952380952381,71.0,0.0,0.0
qwen25_15b,10,msc_valid,16,recency_keep_compress_drop,0.35,21,3.5476190476190474,74.5,3.380952380952381,71.0,0.16666666666666652,3.5
qwen25_15b,10,msc_valid,16,uniform,0.5,21,3.3333333333333335,70.0,3.380952380952381,71.0,-0.04761904761904745,-1.0
qwen25_15b,10,msc_valid,16,longllmlingua,0.5,21,3.2142857142857144,67.5,3.380952380952381,71.0,-0.16666666666666652,-3.5
qwen25_15b,10,msc_valid,16,recency,0.5,21,3.5476190476190474,74.5,3.380952380952381,71.0,0.16666666666666652,3.5
