conversation_id,family,num_turns_used,raw_mean_curvature,raw_std_curvature,raw_max_curvature,stabilized_mean_curvature,stabilized_std_curvature,stabilized_max_curvature,mean_step_norm,min_step_norm,max_step_norm,raw_curvature_over_100_count,raw_curvature_over_1000_count,stabilized_curvature_over_10_count,stabilized_curvature_over_25_count,step_norm_below_1e-3_count,step_norm_below_1e-2_count,excerpt
msc-00000,msc_valid,62,2520.867431640625,2202.6689453125,4447.04541015625,17.50335693359375,13.541577339172363,29.344131469726562,0.6037355661392212,0.0005980199784971774,1.569744348526001,34,34,34,34,35,35,"user: Hello what are doing today? || assistant: I am good, I just got off work and tired, I have two jobs. || user: I just got done watching a horror movie || assistant: I rather read, I've read about 20 books this year."
1,msc_valid,62,1.4470709562301636,1.045106053352356,2.610264539718628,1.4470709562301636,1.045106053352356,2.610264539718628,0.9010570645332336,0.0,1.6615445613861084,0,0,0,0,20,20,user: Hi! How are you doing tonight? || assistant: I'm doing great. Just relaxing with my two dogs. || user: Great. In my spare time I do volunteer work. || assistant: That's neat. What kind of volunteer work do you do?
2,msc_valid,62,1.1517733335494995,1.0211596488952637,2.2838544845581055,1.1517733335494995,1.0211596488952637,2.2838544845581055,0.8102529644966125,0.0,1.7814795970916748,0,0,0,0,26,26,"user: Hello, how are you doing? || assistant: I love spending time with my family || user: That is great, me too! I'm married and my husband and I've 2 children. || assistant: So then have you ever been to disneyland?"
3,msc_valid,14,1.8870819807052612,0.09808604419231415,2.0480246543884277,1.8870819807052612,0.09808604419231415,2.0480246543884277,1.5373084545135498,1.4430323839187622,1.6277985572814941,0,0,0,0,0,0,user: Hi how are you doing? I am okay how about you? || assistant: I am doing good. Just sipping tea. What do you do for work? || user: I used to do home health aide but now I am disabled. || assistant: I am sorry to hear that. What happened
conv-26-qa000,locomo10,96,3190.45947265625,2236.553955078125,4759.3408203125,19.20107078552246,12.005027770996094,27.621496200561523,0.45207536220550537,0.00048828125,1.6714907884597778,63,63,63,63,64,64,"user: Hey Mel! Good to see you! How have you been? || assistant: Hey Caroline! Good to see you! I'm swamped with the kids & work. What's up with you? Anything new? || user: I went to a LGBTQ support group yesterday and it was so powerful. || assistant: Wow, that's cool, Caroline! What happened that was so awesome? Did you hear any inspiring stories?"
conv-26-qa001,locomo10,96,3190.45947265625,2236.553955078125,4759.3408203125,19.20107078552246,12.005027770996094,27.621496200561523,0.45207536220550537,0.00048828125,1.6714907884597778,63,63,63,63,64,64,"user: Hey Mel! Good to see you! How have you been? || assistant: Hey Caroline! Good to see you! I'm swamped with the kids & work. What's up with you? Anything new? || user: I went to a LGBTQ support group yesterday and it was so powerful. || assistant: Wow, that's cool, Caroline! What happened that was so awesome? Did you hear any inspiring stories?"
conv-26-qa002,locomo10,96,3190.45947265625,2236.553955078125,4759.3408203125,19.20107078552246,12.005027770996094,27.621496200561523,0.45207536220550537,0.00048828125,1.6714907884597778,63,63,63,63,64,64,"user: Hey Mel! Good to see you! How have you been? || assistant: Hey Caroline! Good to see you! I'm swamped with the kids & work. What's up with you? Anything new? || user: I went to a LGBTQ support group yesterday and it was so powerful. || assistant: Wow, that's cool, Caroline! What happened that was so awesome? Did you hear any inspiring stories?"
conv-26-qa003,locomo10,96,3190.45947265625,2236.553955078125,4759.3408203125,19.20107078552246,12.005027770996094,27.621496200561523,0.45207536220550537,0.00048828125,1.6714907884597778,63,63,63,63,64,64,"user: Hey Mel! Good to see you! How have you been? || assistant: Hey Caroline! Good to see you! I'm swamped with the kids & work. What's up with you? Anything new? || user: I went to a LGBTQ support group yesterday and it was so powerful. || assistant: Wow, that's cool, Caroline! What happened that was so awesome? Did you hear any inspiring stories?"
e47becba,longmemeval_s_cleaned,96,6314.6728515625,1496.3221435546875,6669.33642578125,26.129955291748047,5.79437255859375,27.503223419189453,0.08309660106897354,0.0003452669770922512,1.7178846597671509,89,89,89,89,90,90,"user: The farmer needs to transport a fox, a chicken, and some grain across a river using a boat. The fox cannot be left alone || assistant: To solve this puzzle, the farmer can follow these steps: |  | 1. First, the farmer should take the chicken across the river  || user: I'm trying to stay on top of my fitness goals and was wondering if you could recommend some workouts that can help me in || assistant: Congratulations on taking the first step (pun intended!) towards a healthier lifestyle! I'm happy to help you with worko"
118b2229,longmemeval_s_cleaned,96,4487.443359375,814.49658203125,4635.32958984375,26.458993911743164,4.524054527282715,27.28031349182129,0.051689513027668,0.00048828125,1.7103160619735718,91,91,91,91,92,92,"user: I'm looking for some advice on how to take care of my leather boots. I've been wearing my new boots almost daily since J || assistant: Congratulations on your new boots! Taking good care of them will indeed help them last longer and look great for years t || user: I've been meaning to get some waterproofing spray for my boots, can you recommend a good brand? || assistant: Waterproofing spray is an excellent addition to your boot care routine. There are many great brands out there, but here "
stress_retrieval_launch_packet,retrieval_heavy,8,2.1678974628448486,0.2692854106426239,2.547792911529541,2.1678974628448486,0.2692854106426239,2.547792911529541,1.3211523294448853,1.0934350490570068,1.4808653593063354,0,0,0,0,0,0,"user: Remember this launch packet exactly: codename Atlas, owner Rina, launch date June 3, and legal review due May 20. || assistant: Stored: Atlas, owner Rina, launch June 3, legal review May 20. || user: Add these launch logistics exactly: design review Thursday at 2 PM in Cedar, backup reviewer Omar, and status color ambe || assistant: Added: design review Thursday at 2 PM in Cedar, backup reviewer Omar, status amber."
stress_retrieval_travel_itinerary,retrieval_heavy,8,2.209660768508911,0.3026539981365204,2.685368776321411,2.209660768508911,0.3026539981365204,2.685368776321411,1.3158342838287354,1.1000083684921265,1.5325946807861328,0,0,0,0,0,0,"user: Remember this itinerary exactly: Maya lands in Boston Tuesday at 6:40 PM, stays at Harbor Inn, and leaves Friday morning || assistant: Stored: Boston Tuesday 6:40 PM, Harbor Inn, leave Friday morning. || user: Add these appointments exactly: Dr. Chen on Wednesday in Room 814, dinner with Alex Thursday at 7 PM, and train to Salem || assistant: Added: Dr. Chen Wednesday Room 814, dinner with Alex Thursday 7 PM, Salem train Friday 9:10 AM."
stress_retrieval_medication_case,retrieval_heavy,8,2.2263104915618896,0.24903810024261475,2.5518925189971924,2.2263104915618896,0.24903810024261475,2.5518925189971924,1.2920715808868408,1.078995704650879,1.474317193031311,0,0,0,0,0,0,"user: Remember this care plan exactly: Eli takes medicine A at 8 AM with food and medicine B at 9 PM without food. || assistant: Stored: medicine A 8 AM with food, medicine B 9 PM without food. || user: Add these appointment details exactly: follow-up April 18 at 1:30 PM with Dr. Patel in Suite 500, and lab pickup is Apri || assistant: Added: follow-up April 18 at 1:30 PM with Dr. Patel in Suite 500, lab pickup April 16 noon."
stress_longdep_two_lines,long_dependency,8,2.8980114459991455,0.4476642608642578,3.8847978115081787,2.8980114459991455,0.4476642608642578,3.8847978115081787,0.9814664125442505,0.6908512115478516,1.1507433652877808,0,0,0,0,0,0,"user: For the rest of this chat, answer in exactly two lowercase lines, and each line must have exactly two words. || assistant: rule stored | format locked || user: Remember these facts exactly: vendor northline, owner rina, due august 9, total 4820 dollars. || assistant: northline vendor | rina owner"
