model_key,conversation_id,family,target_turn,policy_name,budget_fraction,budget_token_fraction,retained_turn_fraction,retained_turn_indices,full_token_count,compressed_token_count,token_fraction,logit_l2,kl,top1_match,kept_segment_count,compressed_segment_count,evicted_segment_count,memory_objects
qwen25_15b,6,msc_valid,4,uniform,0.2,0.4148936170212766,0.5,"2,3",111,77,0.6936936936936937,207.14952087402344,2.3233555111801252e-05,1.0,0,0,0,
qwen25_15b,6,msc_valid,4,longllmlingua,0.2,0.2,nan,"2,3",111,71,0.6396396396396397,408.26837158203125,5.6930555729195476e-05,1.0,0,0,0,
qwen25_15b,6,msc_valid,4,recency,0.2,0.4148936170212766,0.5,"2,3",111,77,0.6936936936936937,207.14952087402344,2.3233555111801252e-05,1.0,0,0,0,
qwen25_15b,6,msc_valid,4,lexical_tfidf,0.2,0.4148936170212766,0.5,"2,3",111,77,0.6936936936936937,207.14952087402344,2.3233555111801252e-05,1.0,0,0,0,
qwen25_15b,6,msc_valid,4,recency_keep_compress_drop,0.2,0.4148936170212766,0.5,"2,3",111,77,0.6936936936936937,207.14952087402344,2.3233555111801252e-05,1.0,0,0,1,
qwen25_15b,6,msc_valid,4,uniform,0.35,0.5638297872340425,0.75,"1,2,3",111,91,0.8198198198198198,177.14462280273438,2.3941734980326146e-05,1.0,0,0,0,
qwen25_15b,6,msc_valid,4,longllmlingua,0.35,0.35,nan,"2,3",111,74,0.6666666666666666,446.1474914550781,7.70314218243584e-05,1.0,0,0,0,
qwen25_15b,6,msc_valid,4,recency,0.35,0.5638297872340425,0.75,"1,2,3",111,91,0.8198198198198198,177.14462280273438,2.3941734980326146e-05,1.0,0,0,0,
qwen25_15b,6,msc_valid,4,lexical_tfidf,0.35,0.5638297872340425,0.75,"1,2,3",111,91,0.8198198198198198,177.14462280273438,2.3941734980326146e-05,1.0,0,0,0,
qwen25_15b,6,msc_valid,4,recency_keep_compress_drop,0.35,0.5638297872340425,0.75,"1,2,3",111,91,0.8198198198198198,177.14462280273438,2.3941734980326146e-05,1.0,0,1,0,
qwen25_15b,6,msc_valid,4,uniform,0.5,0.5638297872340425,0.75,"1,2,3",111,91,0.8198198198198198,177.14462280273438,2.3941734980326146e-05,1.0,0,0,0,
qwen25_15b,6,msc_valid,4,longllmlingua,0.5,0.5,nan,"2,3",111,79,0.7117117117117117,424.5340881347656,6.721580575685948e-05,1.0,0,0,0,
qwen25_15b,6,msc_valid,4,recency,0.5,0.5638297872340425,0.75,"1,2,3",111,91,0.8198198198198198,177.14462280273438,2.3941734980326146e-05,1.0,0,0,0,
qwen25_15b,6,msc_valid,4,lexical_tfidf,0.5,0.5638297872340425,0.75,"1,2,3",111,91,0.8198198198198198,177.14462280273438,2.3941734980326146e-05,1.0,0,0,0,
qwen25_15b,6,msc_valid,4,recency_keep_compress_drop,0.5,0.5638297872340425,0.75,"1,2,3",111,91,0.8198198198198198,177.14462280273438,2.3941734980326146e-05,1.0,0,1,0,
qwen25_15b,6,msc_valid,8,uniform,0.2,0.2641509433962264,0.375,"1,6,7",174,78,0.4482758620689655,229.7919921875,7.296430703718215e-05,1.0,0,0,0,
qwen25_15b,6,msc_valid,8,longllmlingua,0.2,0.2,nan,"6,7",174,68,0.39080459770114945,322.74072265625,5.8122401242144406e-05,1.0,0,0,0,
qwen25_15b,6,msc_valid,8,recency,0.2,0.3018867924528302,0.375,"5,6,7",174,84,0.4827586206896552,227.26876831054688,6.196655886014923e-05,1.0,0,0,0,
qwen25_15b,6,msc_valid,8,lexical_tfidf,0.2,0.3018867924528302,0.375,"2,6,7",174,84,0.4827586206896552,316.80731201171875,5.315548332873732e-05,1.0,0,0,0,
qwen25_15b,6,msc_valid,8,recency_keep_compress_drop,0.2,0.3018867924528302,0.375,"5,6,7",174,84,0.4827586206896552,227.26876831054688,6.196655886014923e-05,1.0,0,1,2,
qwen25_15b,6,msc_valid,8,uniform,0.35,0.4339622641509434,0.375,"0,6,7",174,84,0.4827586206896552,257.8328857421875,4.025319140055217e-05,1.0,0,0,0,
qwen25_15b,6,msc_valid,8,longllmlingua,0.35,0.35,nan,"6,7",174,81,0.46551724137931033,312.3646240234375,5.9817833971465006e-05,1.0,0,0,0,
qwen25_15b,6,msc_valid,8,recency,0.35,0.4088050314465409,0.5,"4,5,6,7",174,101,0.5804597701149425,155.15919494628906,2.1325238776626065e-05,1.0,0,0,0,
qwen25_15b,6,msc_valid,8,lexical_tfidf,0.35,0.4088050314465409,0.5,"2,4,6,7",174,101,0.5804597701149425,330.28546142578125,5.617428905679844e-05,1.0,0,0,0,
qwen25_15b,6,msc_valid,8,recency_keep_compress_drop,0.35,0.42138364779874216,0.5,"3,5,6,7",174,103,0.5919540229885057,199.8431854248047,3.780276529141702e-05,1.0,0,2,1,
qwen25_15b,6,msc_valid,8,uniform,0.5,0.5220125786163522,0.5,"0,1,6,7",174,98,0.5632183908045977,170.98953247070312,2.4412085622316226e-05,1.0,0,0,0,
qwen25_15b,6,msc_valid,8,longllmlingua,0.5,0.5,nan,"6,7",174,96,0.5517241379310345,386.9739990234375,7.165373244788498e-05,1.0,0,0,0,
qwen25_15b,6,msc_valid,8,recency,0.5,0.5283018867924528,0.625,"3,4,5,6,7",174,120,0.6896551724137931,161.3203125,2.6124491341761313e-05,1.0,0,0,0,
qwen25_15b,6,msc_valid,8,lexical_tfidf,0.5,0.5283018867924528,0.625,"2,3,4,6,7",174,120,0.6896551724137931,557.30419921875,0.0004184299614280462,1.0,0,0,0,
qwen25_15b,6,msc_valid,8,recency_keep_compress_drop,0.5,0.5094339622641509,0.625,"1,3,5,6,7",174,117,0.6724137931034483,202.1172332763672,4.798113150172867e-05,1.0,0,3,0,
qwen25_15b,6,msc_valid,12,uniform,0.2,0.326271186440678,0.3333333333333333,"1,2,10,11",251,113,0.450199203187251,293.9561767578125,0.0005988994962535799,1.0,0,0,0,
qwen25_15b,6,msc_valid,12,longllmlingua,0.2,0.2,nan,"10,11",251,92,0.3665338645418327,354.8384704589844,9.171342389890924e-05,1.0,0,0,0,
qwen25_15b,6,msc_valid,12,recency,0.2,0.2923728813559322,0.3333333333333333,"6,8,10,11",251,105,0.41832669322709165,278.8599853515625,0.0002700664917938411,1.0,0,0,0,
qwen25_15b,6,msc_valid,12,lexical_tfidf,0.2,0.326271186440678,0.3333333333333333,"8,9,10,11",251,113,0.450199203187251,180.02700805664062,4.8633206461090595e-05,1.0,0,0,0,
qwen25_15b,6,msc_valid,12,recency_keep_compress_drop,0.2,0.3347457627118644,0.3333333333333333,"7,9,10,11",251,115,0.4581673306772908,248.88613891601562,6.038894935045391e-05,1.0,0,2,3,
qwen25_15b,6,msc_valid,12,uniform,0.35,0.461864406779661,0.4166666666666667,"0,1,6,10,11",251,124,0.4940239043824701,415.4005126953125,0.0006993186543695629,1.0,0,0,0,
qwen25_15b,6,msc_valid,12,longllmlingua,0.35,0.35,nan,"10,11",251,111,0.44223107569721115,340.29766845703125,5.818420322611928e-05,1.0,0,0,0,
qwen25_15b,6,msc_valid,12,recency,0.35,0.4449152542372881,0.5,"6,7,8,9,10,11",251,141,0.5617529880478087,149.10464477539062,4.436197559698485e-05,1.0,0,0,0,
qwen25_15b,6,msc_valid,12,lexical_tfidf,0.35,0.4661016949152542,0.5,"1,3,8,9,10,11",251,146,0.5816733067729084,211.8122100830078,2.803142706397921e-05,1.0,0,0,0,
qwen25_15b,6,msc_valid,12,recency_keep_compress_drop,0.35,0.4661016949152542,0.5,"5,6,7,9,10,11",251,146,0.5816733067729084,197.4834442138672,4.2100313294213265e-05,1.0,1,2,2,
qwen25_15b,6,msc_valid,12,uniform,0.5,0.5805084745762712,0.5,"0,1,2,3,10,11",251,152,0.6055776892430279,114.24837493896484,8.962426363723353e-06,1.0,0,0,0,
qwen25_15b,6,msc_valid,12,longllmlingua,0.5,0.5,nan,"10,11",251,134,0.5338645418326693,386.2067565917969,8.103103027679026e-05,1.0,0,0,0,
qwen25_15b,6,msc_valid,12,recency,0.5,0.5889830508474576,0.6666666666666666,"1,5,6,7,8,9,10,11",251,175,0.6972111553784861,215.13990783691406,3.344836659380235e-05,1.0,0,0,0,
qwen25_15b,6,msc_valid,12,lexical_tfidf,0.5,0.5635593220338984,0.5833333333333334,"2,3,7,8,9,10,11",251,169,0.6733067729083665,178.5355682373047,1.1026135325664654e-05,1.0,0,0,0,
